replicate,rank,top-100 model,top-100 acquired
1,0,0.05,0.01
1,1,0.07,0.02
1,2,0.11,0.02
1,3,0.15,0.04
1,4,0.19,0.07
1,5,0.25,0.1
2,0,0.09,0.0
2,1,0.1,0.0
2,2,0.19,0.05
2,3,0.13,0.07
2,4,0.18,0.07
2,5,0.2,0.09
3,0,0.12,0.01
3,1,0.14,0.04
3,2,0.15,0.08
3,3,0.24,0.1
3,4,0.21,0.13
3,5,0.25,0.17
4,0,0.06,0.0
4,1,0.08,0.01
4,2,0.13,0.02
4,3,0.16,0.08
4,4,0.24,0.1
4,5,0.26,0.17
5,0,0.07,0.01
5,1,0.05,0.01
5,2,0.06,0.02
5,3,0.07,0.05
5,4,0.17,0.06
5,5,0.23,0.1
6,0,0.05,0.01
6,1,0.06,0.03
6,2,0.04,0.03
6,3,0.1,0.04
6,4,0.22,0.07
6,5,0.26,0.16
7,0,0.06,0.0
7,1,0.09,0.01
7,2,0.1,0.02
7,3,0.12,0.04
7,4,0.11,0.05
7,5,0.13,0.08
8,0,0.06,0.01
8,1,0.17,0.01
8,2,0.17,0.03
8,3,0.25,0.07
8,4,0.3,0.12
8,5,0.28,0.17
9,0,0.11,0.02
9,1,0.1,0.04
9,2,0.11,0.06
9,3,0.19,0.07
9,4,0.25,0.12
9,5,0.27,0.19
10,0,0.0,0.0
10,1,0.02,0.0
10,2,0.07,0.0
10,3,0.16,0.04
10,4,0.19,0.08
10,5,0.19,0.13
11,0,0.12,0.01
11,1,0.09,0.02
11,2,0.25,0.05
11,3,0.23,0.13
11,4,0.28,0.16
11,5,0.28,0.2
12,0,0.0,0.0
12,1,0.05,0.0
12,2,0.1,0.02
12,3,0.21,0.04
12,4,0.26,0.11
12,5,0.3,0.17
13,0,0.11,0.01
13,1,0.13,0.02
13,2,0.21,0.06
13,3,0.29,0.14
13,4,0.25,0.19
13,5,0.29,0.21
14,0,0.08,0.0
14,1,0.16,0.01
14,2,0.26,0.08
14,3,0.3,0.18
14,4,0.28,0.22
14,5,0.31,0.26
15,0,0.05,0.01
15,1,0.03,0.01
15,2,0.05,0.01
15,3,0.07,0.01
15,4,0.05,0.01
15,5,0.11,0.02
16,0,0.08,0.01
16,1,0.03,0.02
16,2,0.07,0.02
16,3,0.17,0.03
16,4,0.19,0.08
16,5,0.17,0.12
17,0,0.13,0.02
17,1,0.22,0.06
17,2,0.28,0.14
17,3,0.33,0.19
17,4,0.31,0.21
17,5,0.3,0.24
18,0,0.01,0.01
18,1,0.04,0.01
18,2,0.05,0.02
18,3,0.13,0.04
18,4,0.14,0.06
18,5,0.25,0.09
19,0,0.11,0.01
19,1,0.13,0.04
19,2,0.13,0.06
19,3,0.17,0.09
19,4,0.25,0.1
19,5,0.23,0.15
20,0,0.01,0.0
20,1,0.04,0.0
20,2,0.05,0.0
20,3,0.1,0.03
20,4,0.2,0.05
20,5,0.21,0.1
21,0,0.04,0.0
21,1,0.24,0.0
21,2,0.24,0.06
21,3,0.26,0.12
21,4,0.27,0.17
21,5,0.28,0.22
22,0,0.02,0.0
22,1,0.06,0.01
22,2,0.06,0.01
22,3,0.13,0.03
22,4,0.14,0.06
22,5,0.21,0.1
23,0,0.05,0.0
23,1,0.05,0.0
23,2,0.06,0.01
23,3,0.08,0.01
23,4,0.18,0.04
23,5,0.2,0.1
24,0,0.03,0.01
24,1,0.06,0.01
24,2,0.05,0.02
24,3,0.2,0.03
24,4,0.28,0.11
24,5,0.33,0.15
25,0,0.02,0.0
25,1,0.06,0.0
25,2,0.17,0.03
25,3,0.28,0.11
25,4,0.31,0.16
25,5,0.35,0.22
26,0,0.05,0.01
26,1,0.11,0.03
26,2,0.21,0.05
26,3,0.26,0.11
26,4,0.3,0.18
26,5,0.33,0.21
27,0,0.08,0.0
27,1,0.15,0.02
27,2,0.23,0.05
27,3,0.27,0.09
27,4,0.32,0.17
27,5,0.32,0.21
28,0,0.04,0.0
28,1,0.14,0.01
28,2,0.18,0.06
28,3,0.23,0.07
28,4,0.21,0.14
28,5,0.26,0.16
29,0,0.12,0.02
29,1,0.18,0.05
29,2,0.17,0.13
29,3,0.2,0.15
29,4,0.23,0.17
29,5,0.25,0.19
30,0,0.13,0.02
30,1,0.19,0.04
30,2,0.16,0.08
30,3,0.23,0.11
30,4,0.3,0.16
30,5,0.29,0.21
